user_id,user_type,signup_date
U001,merchant,2023-01-28
U002,retail,2023-04-24
U003,agent,2023-05-12
U004,retail,2023-06-28
U005,merchant,2023-01-17
U006,retail,2023-05-10
U007,retail,2023-04-30
U008,merchant,2023-06-04
U009,retail,2023-01-03
U010,retail,2023-04-16
U011,retail,2023-04-09
U012,merchant,2023-02-07
U013,retail,2023-06-24
U014,retail,2023-06-14
U015,merchant,2023-02-25
U016,agent,2023-05-12
U017,retail,2023-01-15
U018,retail,2023-01-31
U019,retail,2023-05-11
U020,retail,2023-01-27
U021,merchant,2023-01-15
U022,retail,2023-03-08
U023,retail,2023-03-04
U024,retail,2023-01-14
U025,retail,2023-04-27
U026,retail,2023-06-17
U027,retail,2023-06-05
U028,merchant,2023-03-21
U029,retail,2023-01-17
U030,merchant,2023-05-27
U031,retail,2023-06-28
U032,agent,2023-04-08
U033,merchant,2023-04-09
U034,retail,2023-01-06
U035,retail,2023-04-11
U036,retail,2023-01-13
U037,retail,2023-02-18
U038,merchant,2023-05-07
U039,retail,2023-06-11
U040,merchant,2023-02-04
U041,retail,2023-02-05
U042,agent,2023-03-26
U043,retail,2023-01-20
U044,retail,2023-05-19
U045,retail,2023-06-02
U046,retail,2023-02-18
U047,agent,2023-02-11
U048,merchant,2023-04-06
U049,retail,2023-05-22
U050,merchant,2023-02-09
U051,merchant,2023-03-19
U052,retail,2023-06-27
U053,retail,2023-04-15
U054,merchant,2023-02-26
U055,retail,2023-06-16
U056,merchant,2023-02-17
U057,merchant,2023-04-01
U058,agent,2023-01-08
U059,retail,2023-03-17
U060,merchant,2023-02-11
U061,retail,2023-02-15
U062,merchant,2023-03-30
U063,retail,2023-05-31
U064,agent,2023-03-29
U065,retail,2023-04-24
U066,retail,2023-04-10
U067,merchant,2023-06-12
U068,retail,2023-03-16
U069,retail,2023-01-01
U070,merchant,2023-01-22
U071,retail,2023-02-02
U072,agent,2023-05-08
U073,merchant,2023-06-11
U074,retail,2023-01-06
U075,retail,2023-02-16
U076,agent,2023-05-19
U077,merchant,2023-05-08
U078,merchant,2023-06-03
U079,retail,2023-02-27
U080,retail,2023-05-31
U081,retail,2023-05-01
U082,merchant,2023-05-25
U083,agent,2023-02-08
U084,retail,2023-02-15
U085,retail,2023-02-28
U086,merchant,2023-06-11
U087,retail,2023-04-16
U088,retail,2023-06-16
U089,retail,2023-01-10
U090,merchant,2023-04-10
U091,retail,2023-04-02
U092,retail,2023-02-15
U093,merchant,2023-05-28
U094,merchant,2023-02-12
U095,retail,2023-05-26
U096,retail,2023-02-04
U097,retail,2023-05-25
U098,retail,2023-01-08
U099,merchant,2023-01-09
U100,retail,2023-05-09
U101,merchant,2023-06-20
U102,retail,2023-06-17
U103,agent,2023-03-01
U104,retail,2023-01-23
U105,merchant,2023-05-08
U106,retail,2023-02-01
U107,agent,2023-04-23
U108,merchant,2023-01-22
U109,merchant,2023-06-17
U110,retail,2023-05-04
U111,retail,2023-06-03
U112,agent,2023-02-08
U113,retail,2023-05-08
U114,merchant,2023-03-14
U115,agent,2023-06-22
U116,merchant,2023-05-03
U117,agent,2023-05-21
U118,retail,2023-04-09
U119,agent,2023-01-27
U120,retail,2023-03-03
U121,agent,2023-06-20
U122,retail,2023-05-09
U123,retail,2023-04-15
U124,retail,2023-04-01
U125,retail,2023-04-29
U126,retail,2023-05-19
U127,retail,2023-02-10
U128,retail,2023-05-17
U129,agent,2023-04-17
U130,merchant,2023-03-17
U131,retail,2023-05-04
U132,retail,2023-06-06
U133,agent,2023-01-27
U134,retail,2023-02-10
U135,retail,2023-01-20
U136,agent,2023-03-30
U137,merchant,2023-03-30
U138,retail,2023-01-20
U139,agent,2023-04-25
U140,retail,2023-05-17
U141,merchant,2023-06-01
U142,retail,2023-01-16
U143,retail,2023-01-30
U144,merchant,2023-03-06
U145,merchant,2023-05-02
U146,retail,2023-03-22
U147,retail,2023-01-15
U148,retail,2023-03-01
U149,retail,2023-04-10
U150,retail,2023-05-06
U151,agent,2023-02-08
U152,agent,2023-04-01
U153,retail,2023-06-16
U154,retail,2023-03-24
U155,retail,2023-04-05
U156,retail,2023-02-21
U157,retail,2023-05-24
U158,retail,2023-03-12
U159,agent,2023-03-24
U160,retail,2023-05-24
U161,retail,2023-03-31
U162,merchant,2023-05-23
U163,retail,2023-04-11
U164,merchant,2023-01-25
U165,retail,2023-02-24
U166,retail,2023-04-02
U167,merchant,2023-05-27
U168,agent,2023-02-04
U169,retail,2023-04-02
U170,retail,2023-03-27
U171,agent,2023-06-01
U172,retail,2023-04-15
U173,merchant,2023-01-15
U174,retail,2023-02-13
U175,retail,2023-06-24
U176,retail,2023-02-22
U177,retail,2023-05-26
U178,retail,2023-06-20
U179,retail,2023-04-05
U180,retail,2023-02-21
U181,merchant,2023-01-25
U182,retail,2023-06-12
U183,merchant,2023-05-20
U184,retail,2023-04-02
U185,merchant,2023-05-24
U186,agent,2023-06-03
U187,agent,2023-01-19
U188,retail,2023-06-24
U189,merchant,2023-06-14
U190,retail,2023-02-05
U191,retail,2023-02-22
U192,agent,2023-03-23
U193,retail,2023-05-20
U194,retail,2023-06-26
U195,merchant,2023-03-29
U196,retail,2023-02-23
U197,retail,2023-05-25
U198,agent,2023-01-08
U199,retail,2023-01-27
U200,retail,2023-04-12
